sub_grp,fav_lan,n_vessels
1,DEACC,2
1,DEBUM,24
1,DECUX,6
1,DEDAG,1
1,DEDIT,6
1,DEEIK,2
1,DEFES,2
1,DEGRE,10
1,DEHUS,2
1,DENHS,1
1,DENOE,3
1,DENOR,1
1,DEWRY,1
1,DKHNB,1
1,NLLAN,1
2,DEBUM,7
2,DECUX,8
2,NLDHR,1
2,NLLAN,1
3,DEACC,6
3,DEBEN,4
3,DEBRV,1
3,DEBUM,19
3,DECUX,11
3,DEDAG,3
3,DEDRM,3
3,DEEIK,5
3,DEFES,3
3,DEGRE,13
3,DEHOO,3
3,DEHSX,1
3,DEHUS,6
3,DENHS,5
3,DENOE,9
3,DENOR,2
3,DEPEL,5
3,DESCY,5
3,DESKW,3
3,DETOE,1
3,DEVAR,1
3,DEWRY,5
3,DEWYK,1
3,DKHNB,3
3,NLLAN,1
4,DECUX,1
4,DEHHF,1
4,DKHNB,1
4,DKRNN,1
4,NLDHR,2
4,NLHAR,1
4,NLLAN,5
